,label,content
0,5,手機已經暫停使用 
1,5,停用手機號碼 
2,5,手機帳戶已關閉 
3,5,手機號碼暂时无法使用 
4,5,手機服務暂停 
5,5,手機已停止服務 
6,5,手機帳號已被停止 
7,5,手機號码已暂停使用 
8,5,手机已经失去服务 
9,5,手机电话服务已被停止
10,5,手機卡已經被停掉了。
11,5,手機卡被停機了，現在無法通話。
12,5,目前手機號碼已經停用了。
13,5,我的手機卡已經被暫停使用。
14,5,手機卡暫停了，不能打電話或收短信。
15,5,這個手機號碼被暫停了，請稍後再試。
16,5,我的手機現在沒有信號，可能被停機了。
17,5,由於付費問題，手機卡不再提供服務。
18,5,手機號碼因付費問題暫停使用。
19,5,手機卡因為未繳費用，已經被停用。
20,5,手機號碼被停止使用。
21,5,手機號碼現在無法使用。
22,5,該手機號碼已停用。
23,5,該手機號碼已失效。
24,5,手機號碼暫時無法使用。
25,5,該手機號碼已被停用。
26,5,手機號碼已被停止使用。
27,5,該手機號碼現在無法運作。
28,5,手機號碼已停止服務。
29,5,該手機號碼已停止運作。
30,5,手機號碼已停用。
31,5,手機門號無法使用。
32,5,本號碼已失效。
33,5,該手機號碼已被停用。
34,5,該號碼目前無法使用。
35,5,門號已被停止使用。
36,5,該號碼已失效。
37,5,該手機門號已停用。
38,5,手機號碼已無法使用。
39,5,該門號已經被停止使用。
40,5,手機號碼封鎖
41,5,手機號碼禁用
42,5,手機號碼停用
43,5,手機號碼遭封鎖
44,5,手機號碼遭禁用
45,5,手機號碼遭停用
46,5,手機號碼被封鎖
47,5,手機號碼被禁用
48,5,手機號碼被停用
49,5,手機號碼關閉
50,5,聯繫不上
51,5,斷訊中
52,5,信號消失
53,5,手機無法通話
54,5,暫停服務
55,5,路徑中斷
56,5,電話中斷
57,5,料件發生問題
58,5,網路不穩定
59,5,訊號不佳
60,5,手機已經失去了信號。
61,5,手機已經斷線了。
62,5,手機已經沒有訊號了。
63,5,手機已經掉線了。
64,5,手機已經斷掉了連接。
65,5,手機已經失去了網路。
66,5,手機已經處於離線狀態。
67,5,手機已經與網路斷開了連線。
68,5,手機已經無法連接網路。
69,5,手機已經無法接收網路信號。
70,5,手機門號暫時停用。
71,5,暫停手機號碼的使用權。
72,5,應用門號暫停服務中。
73,5,手機號碼權限被暫時禁用。
74,5,您的手機號碼已經被暫停使用。
75,5,暫時中斷手機號碼的使用。
76,5,手機門號暫停中，請稍後再試。
77,5,暫停手機號碼的通信功能。
78,5,手機號碼的有效期限已暫停。
79,5,此手機門號已經暫時停止使用。
80,5,手機號大放榜
81,5,手機門號晒出來
82,5,手機號碼大曝光
83,5,手機號放上大眾面前
84,5,手機號碼公開展示
85,5,手機門號大揭露
86,5,手機號碼晒晒看看
87,5,手機號碼曝光一下
88,5,手機門號公開榜
89,5,手機號密集曝光
90,5,結束使用後最後一期的帳單已寄送至您的地址。
91,5,您的帳戶已關閉，最後一期帳單已經寄出。
92,5,最後一期帳單已經送到您的信箱中。
93,5,最後一期的帳單已經產生，將會盡快郵寄給您。
94,5,服務已終止，最後一期帳單已寄發到您指定的地址。
95,5,本月為您使用的最後一期，帳單已郵送到您的住址。
96,5,終止使用後的最後一期帳單已經發出，請前往信箱查收。
97,5,最後一期的帳單已製作並寄出，請注意查收。
98,5,您的帳戶已被終止，最後一期帳單已郵寄到您的地址。
99,5,結束使用後，最後一期的帳單已寄出，請留意收件箱。
100,5,昨天出院时给我最后一张账单。
101,5,出院时，请给我一份最后账单。
102,5,最后结算账单请在出院时提供。
103,5,出院时请提供最终结算账单。
104,5,最后一次结算账单请在出院时给我。
105,5,出院前请提供最后一期账单。
106,5,最终结算账单请在出院时给我。
107,5,出院时请领取最后一张账单。
108,5,最后一期账单请在出院时办理。
109,5,出院时请准备最终的结算账单。
110,5,最後一張帳單已攜出。
111,5,已經攜出最後一期帳單。
112,5,最後一期帳單已經取出了。
113,5,帳單已攜出，最後一期。
114,5,最後一期帳單已經帶回家了。
115,5,已經帶走了最後的帳單。
116,5,攜出最後一張帳單了。
117,5,最後一期的賬單已攜帶走。
118,5,最後一份帳單已取回。
119,5,帳單最後一期已經攜帶出去了。
120,5,最後一期外帶的帳單明細
121,5,最終一次帶走的信用卡帳單
122,5,攜出後的最終帳單明細
123,5,最後一份帶出的付款明細
124,5,外帶後的最後一次款項明細
125,5,所攜帶的最後一期帳單明細
126,5,最終一次帶出的付款明細清單
127,5,外帶後的最後一期帳款明細
128,5,所攜帶的最終付款單明細
129,5,最後一張攜出的帳單結算明細
130,5,最后一期的账目清单需要带走。
131,5,请带上最新的账目清单。
132,5,带走最后一份账单清单。
133,5,请取走最后一期的账单明细表。
134,5,最终一期的账目清单请随身携带。
135,5,请携带最后一次的账目细目清单。
136,5,最后一期账目清单要归还。
137,5,请将最后一次的账单清单带出去。
138,5,最终一张账目清单需要带回家。
139,5,最后一份账单明细清单请带离现场。
140,5,最終出帳單
141,5,最終帳目記錄
142,5,最終記憶日誌
143,5,攜出終止報表
144,5,攜出完結憑證
145,5,出帳紀錄書
146,5,終極結算證明
147,5,最後一期支出清單
148,5,出門後的最終賬本
149,5,最終出門記錄单
150,5,攜出後的最終賬單已經寄出，請仔細檢查。
151,5,請注意，攜出後的最新帳單已經到達你的郵箱。
152,5,你已經收到了攜出後的最終帳單，請確認交易明細。
153,5,你的攜出後最後一期帳單已設定自動付款，無需擔心逾期。
154,5,攜出後最後一期帳單已經過期，請及時付款以免影響你的信用。
155,5,攜出後的最終帳單已經在郵箱裡等待你的查看，請確認付款金額。
156,5,您的攜出後最後一期帳單已發出，請確定您已收到。
157,5,請留意，您的攜出後最後一期帳單已經郵寄出去了。
158,5,您已經收到了攜出後的最終賬單，內含詳細的支出和付款信息。
159,5,記得定期檢查攜出後的最後一期帳單，以避免付款過期。
160,5,最後一張帳單發票那一期的購買資訊。
161,5,攜出後最近的發票，詳細列出費用明細。
162,5,攜回最後一期的帳單發票，明細包括所有消費細節。
163,5,最後這一期帳單發票的相關消費明細。
164,5,攜回最近消費的帳單發票，包含詳細的購物內容。
165,5,最近一期的帳單發票，詳細說明所有支出細節。
166,5,攜回最後一筆購物的帳單發票，列出所有付款明細。
167,5,最近一期的發票帳單，詳細顯示所有購物細節。
168,5,紀錄攜回的最後一張帳單發票，完整列出所有支出記錄。
169,5,記錄攜回的最新的帳單發票，包含所有消費清單的詳細。
170,5,攜出後的結算單據是最後一份賬目。
171,5,負責人將攜出後的賬目單據全部提交。
172,5,最後一次攜出後，我們需要結算賬目。
173,5,賬目單據是攜出後最後一次的結算結果。
174,5,這是攜出後的最後一期賬目報告。
175,5,最後一次攜出後的賬目已全部結算。
176,5,我們需要準備攜出後的最後一張賬目單據。
177,5,攜出後最後一期的賬目結果已經報告。
178,5,最後一期攜出後的賬目單據已經歸檔。
179,5,我們已完成攜出後的最後一次賬目調整。
180,5,最後一期攜出後的繳費單已發送，請注意查收。
181,5,請確認攜出後最後一期的繳費單是否已收到。
182,5,請務必在攜出後最後一期的繳費單到期前完成繳費程序。
183,5,最後一期的繳費單已寄出，請密切留意郵件。
184,5,請勿忘記攜出後最後一期繳費單的繳費截止日期。
185,5,最後一期攜出後的繳費單已寄出，請勿錯過繳費期限。
186,5,請注意攜出後最後一期的繳費單費用是否已包含全部費用。
187,5,最後一期的繳費單已寄出，如果未收到請儘速聯繫客服人員。
188,5,請務必按時完成攜出後最後一期繳費單的繳費程序。
189,5,最後一期攜出後的繳費單已寄出，請記得準時繳費以避免延遲罰款。
190,5,最後一期的請款單已經提出，請妳攜出。
191,5,請妳攜帶最後一期的請款單結算款項。
192,5,最後一張請款單已經出來，請攜帶出門。
193,5,這是最後一次請款，請您攜出請款單。
194,5,最終的請款單已完成，請拿著出門。
195,5,請攜帶最終的請款單出門結算。
196,5,請帶著最新的一張請款單出門。
197,5,最後一期的請款單可拿，請攜帶出去。
198,5,這是攜帶最後一期請款單的最後機會。
199,5,請務必帶著最後一期請款單出門。
200,5,最後一張帳單明細已經寄送至您的郵箱。
201,5,最終的帳單明細已經被發送到你的郵箱了。
202,5,我們已經把你的最後一張帳單明細寄到你的郵箱了。
203,5,你的最終帳單明細已經寄到你的電子郵箱了。
204,5,您的最後一張帳單明細已經發送到您的電子郵箱。
205,5,我們已經把您的最終帳單明細寄到了您的電子郵箱。
206,5,您的最後一期帳單明細已經被發送到您的電子郵箱。
207,5,我們已經把您的最終帳單明細郵寄到您的電子郵箱。
208,5,您的最後一期帳單明細已經寄到了您的郵箱。
209,5,最終的帳單明細已經被發送到了您的郵箱。
210,5,攜出後的最終帳單
211,5,攜帳最終出單後
212,5,最終攜出帳單 
213,5,帳單最終攜出後 
214,5,攜帳單後最終出 
215,5,最終帳單攜出後 
216,5,最終出攜帳單後 
217,5,攜出最終帳單後
218,5,最終帳單出攜後
219,5,攜帳出後最終單
220,5,發出結帳單後，這筆交易便完結了。
221,5,攜出物品後，結帳單便成為了我們的責任。
222,5,在攜走物品前，請先簽署結帳單。
223,5,結帳單上列出了所有購買項目和數量。
224,5,結帳單是我們的記錄工具，請務必保存好。
225,5,結帳單上的總額已經包含了所有項目的金額。
226,5,攜出產品前，請檢查結帳單以確保沒有漏買。
227,5,結帳單上的日期代表了您的購買時間。
228,5,攜出物品後，結帳單將成為您的消費憑證。
229,5,結帳單上的金額已經算好了稅和費用。
230,5,最後一次帳單是在攜出之前寄送的。
231,5,攜出後最後一次出單是多少呢？
232,5,帳單是否會在我進行攜出後結束？
233,5,作為攜出後的帳單，這是最後一次提供服務的紀錄。
234,5,最終帳單已經在你攜出前寄發了。
235,5,攜出後的最後一份帳單會收到電子郵件嗎？
236,5,是否還有其他未收到的攜出後帳單？
237,5,最後一次帳單的付款方式是什麼？
238,5,是否可以訪問攜出後帳單的網站？
239,5,請問攜出後最終的帳單會在多久之後到達？
240,5,支付尾款的時間為下周三，請務必在當天前完成付款。
241,5,我們已將完整的帳單寄送至您的信箱，請仔細檢查。
242,5,請確認您的帳目無誤後，即可進行最終的付款。
243,5,如需延期支付，請在期限前聯繫我們以避免產生違約金。
244,5,您可透過網路銀行或是信用卡進行付款，請選擇您方便的付款方式。
245,5,如尚未收到您的付款，請及時與我們聯繫。
246,5,待您完成付款後，我們會立即安排寄送相關文件或商品。
247,5,若您有任何疑問或是需要補充資料，請隨時與我們聯繫。
248,5,感謝您的信任與合作，期待未來再度為您提供服務。
249,5,本次的交易紀錄已經妥善保存，如有需要，我們隨時可提供相關文件。
